partner_id,campaign_id,timestamp,ad_slot,clicks,impressions
ZappyToys,ZappyToys_camp_10,07/04/2024,slot_5,40,996
PlayPals,PlayPals_camp_2,2024-04-09,slot_6,29,985
Funables,Funables_camp_7,2024-04-29,slot_2,36,1006
PlayPals,PlayPals_camp_10,2024-04-07,slot_8,36,1014
BrightBlox,BrightBlox_camp_3,2024-04-22,slot_8,46,981
Funables,Funables_camp_6,2024-04-22,slot_9,49,1004
ToonJoy,ToonJoy_camp_8,2024-04-04,slot_7,null,942
MiniMax,MiniMax_camp_4,15/04/2024,slot_7,21,979
BrightBlox,BrightBlox_camp_2,2024-04-24,slot_7,32,1005
MiniMax,MiniMax_camp_10,2024-04-04,slot_10,44,
MiniMax,MiniMax_camp_3,2024-04-18,slot_10,37,981
ZappyToys,ZappyToys_camp_5,2024-04-29,slot_5,43,955
BrightBlox,BrightBlox_camp_6,2024-04-11,slot_7,37,966
Kidzsy,Kidzsy_camp_7,2024-04-10,slot_8,45,961
ZappyToys,ZappyToys_camp_4,2024-04-05,slot_9,16,996
BrightBlox,BrightBlox_camp_3,2024-04-30,slot_4,36,1012
Funables,Funables_camp_2,2024-04-10,slot_9,40,1016
PlayPals,PlayPals_camp_9,2024-04-18,slot_2,48,1049
ZappyToys,ZappyToys_camp_8,2024-04-14,slot_1,41,992
Funables,Funables_camp_2,2024-04-23,slot_10,27,1031
MiniMax,MiniMax_camp_7,2024-04-12,slot_3,36,1012
ZappyToys,ZappyToys_camp_10,2024-04-28,slot_2,16,1032
ZappyToys,ZappyToys_camp_1,2024-04-24,slot_1,27,1022
ToonJoy,ToonJoy_camp_9,2024-04-06,slot_4,19,1041
MiniMax,MiniMax_camp_6,2024-04-25,slot_9,28,1042
ToonJoy,ToonJoy_camp_7,2024-04-11,slot_3,41,988
Kidzsy,Kidzsy_camp_2,2024-04-22,slot_8,38,1047
BrightBlox,BrightBlox_camp_10,2024-04-18,slot_2,48,995
Funables,Funables_camp_1,2024-04-06,slot_4,37,935
PlayPals,PlayPals_camp_10,2024-04-10,slot_8,18,976
Kidzsy,Kidzsy_camp_9,2024-04-21,slot_7,42,977
MiniMax,MiniMax_camp_2,2024-04-15,slot_5,29,1022
ToonJoy,ToonJoy_camp_2,2024-04-09,slot_1,18,979
BrightBlox,BrightBlox_camp_9,2024-04-12,slot_6,28,1011
PlayPals,PlayPals_camp_5,2024-04-29,slot_10,18,996
MiniMax,MiniMax_camp_1,2024-04-28,slot_1,20,1025
PlayPals,PlayPals_camp_8,2024-04-08,slot_5,43,1016
MiniMax,MiniMax_camp_2,2024-04-24,slot_3,null,1054
Kidzsy,Kidzsy_camp_9,2024-04-09,slot_8,37,1009
Funables,Funables_camp_7,19/04/2024,slot_4,28,1038
ZappyToys,ZappyToys_camp_1,2024-04-29,slot_3,null,1001
BrightBlox,BrightBlox_camp_2,2024-04-03,slot_2,30,971
BrightBlox,BrightBlox_camp_9,11/04/2024,slot_6,20,984
ZappyToys,ZappyToys_camp_4,2024-04-02,slot_10,45,988
Kidzsy,Kidzsy_camp_8,2024-04-21,slot_6,29,994
PlayPals,PlayPals_camp_3,2024-04-05,slot_10,26,945
ToonJoy,ToonJoy_camp_6,2024-04-15,slot_6,20,992
Kidzsy,Kidzsy_camp_3,2024-04-16,slot_2,32,1017
ToonJoy,ToonJoy_camp_2,2024-04-24,slot_3,39,1060
Funables,Funables_camp_4,2024-04-16,slot_4,25,1045
BrightBlox,BrightBlox_camp_5,2024-04-22,slot_5,27,989
MiniMax,MiniMax_camp_2,2024-04-02,slot_2,48,968
Kidzsy,Kidzsy_camp_10,2024-04-28,slot_7,33,1010
BrightBlox,BrightBlox_camp_1,2024-04-15,slot_7,40,926
PlayPals,PlayPals_camp_9,2024-04-22,slot_7,51,960
MiniMax,MiniMax_camp_10,2024-04-17,slot_7,37,1014
BrightBlox,BrightBlox_camp_5,2024-04-12,slot_8,38,N/A
ToonJoy,ToonJoy_camp_7,2024-04-21,slot_1,29,1038
MiniMax,MiniMax_camp_7,2024-04-01,slot_2,32,1031
ToonJoy,ToonJoy_camp_5,2024-04-06,slot_1,23,1047
PlayPals,PlayPals_camp_5,2024-04-26,slot_8,38,1012
BrightBlox,BrightBlox_camp_3,2024-04-23,slot_5,34,
MiniMax,MiniMax_camp_1,2024-04-23,slot_4,37,963
Kidzsy,Kidzsy_camp_1,2024-04-27,slot_8,39,940
ZappyToys,ZappyToys_camp_4,2024-04-27,slot_9,23,1054
ZappyToys,ZappyToys_camp_7,2024-04-05,slot_5,36,999
Kidzsy,Kidzsy_camp_6,2024-04-17,slot_3,16,990
ZappyToys,ZappyToys_camp_6,2024-04-19,slot_1,43,1024
MiniMax,MiniMax_camp_2,2024-04-20,slot_3,37,970
BrightBlox,BrightBlox_camp_5,2024-04-24,slot_2,36,994
Funables,Funables_camp_6,05/04/2024,slot_9,22,
Funables,Funables_camp_3,2024-04-12,slot_4,52,986
PlayPals,PlayPals_camp_9,2024-04-16,slot_5,25,1009
PlayPals,PlayPals_camp_3,2024-04-15,slot_5,14,1035
MiniMax,MiniMax_camp_6,2024-04-18,slot_3,32,1047
Kidzsy,Kidzsy_camp_7,2024-04-21,slot_9,32,1048
Funables,Funables_camp_2,2024-04-02,slot_5,53,995
BrightBlox,BrightBlox_camp_3,2024-04-14,slot_1,44,976
ToonJoy,ToonJoy_camp_9,2024-04-27,slot_9,12,1004
PlayPals,PlayPals_camp_7,2024-04-18,slot_9,43,996
ZappyToys,ZappyToys_camp_7,2024-04-03,slot_5,30,N/A
BrightBlox,BrightBlox_camp_1,2024-04-08,slot_4,37,N/A
ZappyToys,ZappyToys_camp_10,2024-04-12,slot_8,34,1002
ToonJoy,ToonJoy_camp_9,2024-04-21,slot_4,51,1001
Funables,Funables_camp_5,2024-04-13,slot_10,42,986
ZappyToys,ZappyToys_camp_3,2024-04-12,slot_1,23,1041
Kidzsy,Kidzsy_camp_1,2024-04-25,slot_8,36,1032
ZappyToys,ZappyToys_camp_6,2024-04-16,slot_4,24,977
Kidzsy,Kidzsy_camp_9,2024-04-13,slot_10,29,969
ZappyToys,ZappyToys_camp_9,2024-04-16,slot_4,31,906
ToonJoy,ToonJoy_camp_6,2024-04-04,slot_4,53,984
Kidzsy,Kidzsy_camp_8,2024-04-05,slot_3,43,1002
BrightBlox,BrightBlox_camp_4,2024-04-06,slot_2,39,990
Kidzsy,Kidzsy_camp_6,2024-04-02,slot_8,54,1055
MiniMax,MiniMax_camp_10,2024-04-24,slot_8,33,946
ZappyToys,ZappyToys_camp_8,2024-04-11,slot_2,44,977
BrightBlox,BrightBlox_camp_1,2024-04-18,slot_3,54,1027
MiniMax,MiniMax_camp_9,2024-04-23,slot_9,50,995
Kidzsy,Kidzsy_camp_8,2024-04-10,slot_7,46,941
Funables,Funables_camp_9,2024-04-23,slot_6,24,968
MiniMax,MiniMax_camp_5,2024-04-11,slot_5,16,987
BrightBlox,BrightBlox_camp_8,2024-04-15,slot_9,58,1009
MiniMax,MiniMax_camp_4,2024-04-27,slot_4,27,967
Kidzsy,Kidzsy_camp_5,2024-04-08,slot_9,27,1033
PlayPals,PlayPals_camp_7,2024-04-03,slot_8,36,1003
Kidzsy,Kidzsy_camp_9,2024-04-12,slot_4,25,1004
BrightBlox,BrightBlox_camp_1,2024-04-20,slot_2,23,1041
BrightBlox,BrightBlox_camp_6,2024-04-23,slot_2,42,987
BrightBlox,BrightBlox_camp_10,2024-04-18,slot_4,44,N/A
PlayPals,PlayPals_camp_3,2024-04-26,slot_7,30,996
ZappyToys,ZappyToys_camp_8,2024-04-10,slot_6,47,979
ToonJoy,ToonJoy_camp_6,2024-04-04,slot_8,42,1042
MiniMax,MiniMax_camp_3,2024-04-29,slot_1,44,
Funables,Funables_camp_3,2024-04-03,slot_4,41,995
ZappyToys,ZappyToys_camp_6,2024-04-08,slot_8,40,
MiniMax,MiniMax_camp_8,2024-04-26,slot_3,31,1001
MiniMax,MiniMax_camp_1,2024-04-25,slot_9,20,1034
ZappyToys,ZappyToys_camp_4,2024-04-06,slot_1,19,983
ZappyToys,ZappyToys_camp_8,2024-04-28,slot_8,51,1015
MiniMax,MiniMax_camp_3,2024-04-12,slot_8,38,1014
Kidzsy,Kidzsy_camp_4,2024-04-22,slot_3,28,1028
Kidzsy,Kidzsy_camp_8,2024-04-27,slot_1,43,955
PlayPals,PlayPals_camp_4,2024-04-16,slot_3,35,1010
Kidzsy,Kidzsy_camp_6,2024-04-28,slot_6,50,955
Kidzsy,Kidzsy_camp_5,2024-04-07,slot_3,46,1016
ZappyToys,ZappyToys_camp_4,2024-04-03,slot_7,19,1038
BrightBlox,BrightBlox_camp_2,2024-04-11,slot_3,40,1035
Kidzsy,Kidzsy_camp_1,2024-04-25,slot_6,37,986
ZappyToys,ZappyToys_camp_1,2024-04-13,slot_6,32,978
MiniMax,MiniMax_camp_9,2024-04-20,slot_2,21,999
PlayPals,PlayPals_camp_1,2024-04-14,slot_4,52,1019
MiniMax,MiniMax_camp_6,2024-04-02,slot_6,31,995
Kidzsy,Kidzsy_camp_9,2024-04-06,slot_8,27,1015
MiniMax,MiniMax_camp_3,2024-04-01,slot_4,22,1045
PlayPals,PlayPals_camp_2,2024-04-27,slot_4,,1073
MiniMax,MiniMax_camp_10,2024-04-05,slot_7,42,1027
ToonJoy,ToonJoy_camp_4,2024-04-04,slot_2,37,955
MiniMax,MiniMax_camp_9,2024-04-10,slot_3,46,1083
MiniMax,MiniMax_camp_2,2024-04-12,slot_8,40,1019
ToonJoy,ToonJoy_camp_5,2024-04-30,slot_10,18,986
Funables,Funables_camp_4,2024-04-13,slot_9,33,1068
BrightBlox,BrightBlox_camp_5,2024-04-05,slot_10,26,980
Funables,Funables_camp_10,2024-04-11,slot_10,22,1016
Funables,Funables_camp_7,2024-04-02,slot_10,19,1007
ToonJoy,ToonJoy_camp_1,2024-04-13,slot_4,37,966
Kidzsy,Kidzsy_camp_6,2024-04-17,slot_6,37,951
ZappyToys,ZappyToys_camp_5,22/04/2024,slot_2,null,1039
ZappyToys,ZappyToys_camp_10,2024-04-19,slot_8,40,1017
Kidzsy,Kidzsy_camp_2,2024-04-28,slot_6,27,
MiniMax,MiniMax_camp_4,2024-04-04,slot_4,55,940
Kidzsy,Kidzsy_camp_4,2024-04-17,slot_7,59,983
MiniMax,MiniMax_camp_2,2024-04-03,slot_1,53,1026
Kidzsy,Kidzsy_camp_10,2024-04-23,slot_9,49,990
Kidzsy,Kidzsy_camp_1,2024-04-29,slot_5,25,1008
MiniMax,MiniMax_camp_3,2024-04-03,slot_7,57,960
ToonJoy,ToonJoy_camp_7,2024-04-20,slot_2,37,984
MiniMax,MiniMax_camp_6,2024-04-18,slot_7,31,980
ZappyToys,ZappyToys_camp_7,2024-04-08,slot_8,51,1034
BrightBlox,BrightBlox_camp_5,2024-04-22,slot_3,30,956
ToonJoy,ToonJoy_camp_6,2024-04-11,slot_9,35,1031
PlayPals,PlayPals_camp_6,2024-04-04,slot_6,35,1012
Kidzsy,Kidzsy_camp_1,2024-04-12,slot_10,25,
BrightBlox,BrightBlox_camp_5,2024-04-07,slot_8,27,963
Funables,Funables_camp_6,2024-04-08,slot_10,28,995
Kidzsy,Kidzsy_camp_2,2024-04-24,slot_3,26,1011
Funables,Funables_camp_8,2024-04-27,slot_5,24,1014
MiniMax,MiniMax_camp_4,2024-04-02,slot_4,33,1044
ZappyToys,ZappyToys_camp_3,2024-04-13,slot_2,43,989
MiniMax,MiniMax_camp_10,2024-04-15,slot_10,23,959
Funables,Funables_camp_9,2024-04-01,slot_8,37,964
BrightBlox,BrightBlox_camp_10,2024-04-17,slot_4,null,999
Kidzsy,Kidzsy_camp_5,2024-04-14,slot_8,46,970
Funables,Funables_camp_4,2024-04-24,slot_2,26,
Funables,Funables_camp_2,2024-04-13,slot_6,17,1028
Funables,Funables_camp_6,04/04/2024,slot_10,57,1052
ZappyToys,ZappyToys_camp_2,2024-04-04,slot_6,57,988
Funables,Funables_camp_6,2024-04-22,slot_8,38,998
ZappyToys,ZappyToys_camp_1,2024-04-11,slot_7,38,1033
ZappyToys,ZappyToys_camp_7,2024-04-11,slot_10,30,960
Kidzsy,Kidzsy_camp_3,2024-04-25,slot_10,41,957
ToonJoy,ToonJoy_camp_10,2024-04-23,slot_5,56,1046
Kidzsy,Kidzsy_camp_2,2024-04-23,slot_4,21,1025
k1dzsy,Kidzsy_camp_8,2024-04-23,slot_9,43,977
Funables,Funables_camp_6,2024-04-29,slot_2,,952
BrightBlox,BrightBlox_camp_2,2024-04-19,slot_3,33,N/A
Funables,Funables_camp_2,2024-04-22,slot_3,44,1020
Kidzsy,Kidzsy_camp_7,2024-04-02,slot_10,49,1006
Kidzsy,Kidzsy_camp_10,2024-04-28,slot_6,50,1020
PlayPals,PlayPals_camp_7,2024-04-02,slot_6,47,992
ZappyToys,ZappyToys_camp_3,2024-04-14,slot_4,39,1024
PlayPals,PlayPals_camp_5,2024-04-15,slot_7,21,966
ZappyToys,ZappyToys_camp_2,2024-04-13,slot_10,22,957
ZappyToys,ZappyToys_camp_2,2024-04-20,slot_3,26,1011
Kidzsy,Kidzsy_camp_1,2024-04-03,slot_1,49,1033
Kidzsy,Kidzsy_camp_4,2024-04-13,slot_5,23,973
Kidzsy,Kidzsy_camp_8,2024-04-23,slot_3,60,1013
Kidzsy,Kidzsy_camp_1,2024-04-19,slot_10,40,995
MiniMax,MiniMax_camp_6,2024-04-29,slot_3,26,971
ZappyToys,ZappyToys_camp_6,2024-04-20,slot_10,39,976
BrightBlox,BrightBlox_camp_4,2024-04-28,slot_3,37,999
ZappyToys,ZappyToys_camp_4,2024-04-26,slot_7,35,992
Kidzsy,Kidzsy_camp_1,2024-04-22,slot_8,48,1001
Kidzsy,Kidzsy_camp_7,2024-04-29,slot_6,63,986
ToonJoy,ToonJoy_camp_9,2024-04-17,slot_5,48,1017
Kidzsy,Kidzsy_camp_10,2024-04-08,slot_9,27,1044
MiniMax,MiniMax_camp_9,2024-04-21,slot_4,23,951
ZappyToys,ZappyToys_camp_2,2024-04-29,slot_6,32,984
Funables,Funables_camp_5,2024-04-19,slot_8,40,950
ZappyToys,ZappyToys_camp_7,2024-04-05,slot_8,25,965
ZappyToys,ZappyToys_camp_3,2024-04-18,slot_7,35,985
Funables,Funables_camp_7,2024-04-08,slot_5,20,972
MiniMax,MiniMax_camp_5,2024-04-20,slot_6,26,
Kidzsy,Kidzsy_camp_7,2024-04-02,slot_3,33,986
Kidzsy,Kidzsy_camp_10,2024-04-16,slot_5,45,971
BrightBlox,BrightBlox_camp_4,2024-04-26,slot_2,59,996
BrightBlox,BrightBlox_camp_3,2024-04-21,slot_9,47,993
PlayPals,PlayPals_camp_8,25/04/2024,slot_7,22,1020
MiniMax,MiniMax_camp_4,2024-04-15,slot_8,40,1001
MiniMax,MiniMax_camp_5,2024-04-24,slot_2,57,1014
Funables,Funables_camp_7,2024-04-27,slot_8,33,1000
Funables,Funables_camp_5,2024-04-23,slot_10,24,1037
PlayPals,PlayPals_camp_7,2024-04-17,slot_3,27,971
Funables,Funables_camp_4,2024-04-06,slot_10,31,1020
PlayPals,PlayPals_camp_7,2024-04-19,slot_2,16,982
PlayPals,PlayPals_camp_10,2024-04-03,slot_6,44,1018
MiniMax,MiniMax_camp_10,2024-04-17,slot_9,27,987
Funables,Funables_camp_6,2024-04-08,slot_1,20,1012
Kidzsy,Kidzsy_camp_5,2024-04-05,slot_1,37,1027
ZappyToys,ZappyToys_camp_6,2024-04-12,slot_1,42,
Funables,Funables_camp_10,2024-04-06,slot_8,42,
Funables,Funables_camp_10,2024-04-03,slot_3,34,1018
z@ppytoys,ZappyToys_camp_7,2024-04-13,slot_2,20,941
ToonJoy,ToonJoy_camp_10,2024-04-17,slot_9,26,N/A
ZappyToys,ZappyToys_camp_2,2024-04-18,slot_4,15,960
MiniMax,MiniMax_camp_4,2024-04-02,slot_7,25,980
BrightBlox,BrightBlox_camp_6,27/04/2024,slot_6,19,1019
Funables,Funables_camp_6,2024-04-18,slot_7,22,1020
Kidzsy,Kidzsy_camp_6,2024-04-13,slot_5,49,1000
MiniMax,MiniMax_camp_10,2024-04-20,slot_3,30,1012
Kidzsy,Kidzsy_camp_9,2024-04-09,slot_4,30,984
ZappyToys,ZappyToys_camp_10,2024-04-17,slot_7,33,990
Funables,Funables_camp_1,2024-04-29,slot_1,42,1054
PlayPals,PlayPals_camp_9,2024-04-21,slot_3,21,971
BrightBlox,BrightBlox_camp_10,2024-04-25,slot_1,38,979
MiniMax,MiniMax_camp_1,2024-04-15,slot_4,46,1019
BrightBlox,BrightBlox_camp_9,2024-04-23,slot_5,47,
ZappyToys,ZappyToys_camp_8,2024-04-11,slot_8,38,1022
BrightBlox,BrightBlox_camp_3,2024-04-13,slot_7,25,979
Kidzsy,Kidzsy_camp_3,2024-04-22,slot_4,41,1034
MiniMax,MiniMax_camp_4,2024-04-14,slot_1,51,1014
PlayPals,PlayPals_camp_7,2024-04-23,slot_7,19,998
MiniMax,MiniMax_camp_10,2024-04-01,slot_1,51,935
Funables,Funables_camp_7,2024-04-01,slot_9,21,995
Kidzsy,Kidzsy_camp_7,2024-04-20,slot_6,39,1002
BrightBlox,BrightBlox_camp_9,2024-04-16,slot_4,37,982
MiniMax,MiniMax_camp_6,2024-04-23,slot_10,21,1029
PlayPals,PlayPals_camp_5,2024-04-10,slot_1,null,1042
Funables,Funables_camp_3,2024-04-21,slot_9,43,1021
PlayPals,PlayPals_camp_6,2024-04-04,slot_5,46,969
BrightBlox,BrightBlox_camp_4,2024-04-08,slot_1,20,
ZappyToys,ZappyToys_camp_7,2024-04-12,slot_9,21,933
Funables,Funables_camp_2,2024-04-28,slot_3,41,993
Funables,Funables_camp_8,2024-04-26,slot_5,30,986
ToonJoy,ToonJoy_camp_2,2024-04-11,slot_7,44,1004
MiniMax,MiniMax_camp_10,2024-04-25,slot_2,37,1004
MiniMax,MiniMax_camp_2,2024-04-24,slot_7,15,954
ToonJoy,ToonJoy_camp_10,2024-04-25,slot_4,38,
ToonJoy,ToonJoy_camp_2,2024-04-29,slot_5,46,990
BrightBlox,BrightBlox_camp_6,2024-04-03,slot_3,35,1001
PlayPals,PlayPals_camp_9,2024-04-29,slot_8,47,992
Funables,Funables_camp_9,2024-04-15,slot_9,53,1026
k1dzsy,Kidzsy_camp_7,2024-04-12,slot_2,10,991
PlayPals,PlayPals_camp_9,2024-04-21,slot_6,26,981
MiniMax,MiniMax_camp_5,2024-04-25,slot_3,42,1004
MiniMax,MiniMax_camp_8,2024-04-10,slot_7,35,1043
MiniMax,MiniMax_camp_2,2024-04-09,slot_9,28,N/A
BrightBlox,BrightBlox_camp_10,2024-04-26,slot_1,24,989
PlayPals,PlayPals_camp_4,2024-04-04,slot_7,26,981
MiniMax,MiniMax_camp_9,2024-04-19,slot_4,29,
Funables,Funables_camp_2,2024-04-12,slot_6,51,1057
BrightBlox,BrightBlox_camp_9,2024-04-08,slot_3,34,1022
MiniMax,MiniMax_camp_3,2024-04-25,slot_9,49,1036
ToonJoy,ToonJoy_camp_7,2024-04-11,slot_9,29,997
BrightBlox,BrightBlox_camp_5,2024-04-24,slot_6,37,
Funables,Funables_camp_6,2024-04-14,slot_9,null,964
Kidzsy,Kidzsy_camp_3,2024-04-25,slot_8,30,970
ZappyToys,ZappyToys_camp_10,2024-04-05,slot_4,34,991
Kidzsy,Kidzsy_camp_10,2024-04-14,slot_7,26,939
PlayPals,PlayPals_camp_8,2024-04-21,slot_9,37,
ToonJoy,ToonJoy_camp_6,2024-04-08,slot_10,38,954
BrightBlox,BrightBlox_camp_2,2024-04-19,slot_7,37,1001
Kidzsy,Kidzsy_camp_10,2024-04-27,slot_6,24,971
PlayPals,PlayPals_camp_2,2024-04-11,slot_9,36,935
PlayPals,PlayPals_camp_3,2024-04-05,slot_1,30,1043
MiniMax,MiniMax_camp_10,2024-04-15,slot_4,28,1013
PlayPals,PlayPals_camp_6,2024-04-25,slot_8,32,1020
BrightBlox,BrightBlox_camp_6,2024-04-17,slot_4,39,961
ZappyToys,ZappyToys_camp_8,2024-04-22,slot_3,34,976
Kidzsy,Kidzsy_camp_9,2024-04-15,slot_3,35,969
BrightBlox,BrightBlox_camp_1,2024-04-28,slot_4,32,975
PlayPals,PlayPals_camp_2,2024-04-19,slot_3,52,988
Kidzsy,Kidzsy_camp_5,2024-04-26,slot_9,24,N/A
ZappyToys,ZappyToys_camp_1,2024-04-22,slot_2,25,1007
ToonJoy,ToonJoy_camp_9,2024-04-28,slot_10,42,980
PlayPals,PlayPals_camp_7,2024-04-21,slot_4,21,1008
ZappyToys,ZappyToys_camp_2,2024-04-19,slot_7,44,1028
Kidzsy,Kidzsy_camp_9,2024-04-22,slot_1,19,1035
ToonJoy,ToonJoy_camp_10,2024-04-10,slot_10,19,958
ToonJoy,ToonJoy_camp_1,2024-04-25,slot_3,33,1056
ToonJoy,ToonJoy_camp_5,2024-04-13,slot_10,26,945
Kidzsy,Kidzsy_camp_10,2024-04-10,slot_3,49,1011
Funables,Funables_camp_8,2024-04-29,slot_4,29,1006
ZappyToys,ZappyToys_camp_2,2024-04-14,slot_8,27,973
PlayPals,PlayPals_camp_9,2024-04-06,slot_9,34,1031
MiniMax,MiniMax_camp_7,2024-04-22,slot_9,17,1028
Funables,Funables_camp_5,2024-04-18,slot_9,48,1015
BrightBlox,BrightBlox_camp_2,2024-04-21,slot_2,32,947
Kidzsy,Kidzsy_camp_3,2024-04-26,slot_7,42,1000
ToonJoy,ToonJoy_camp_4,2024-04-07,slot_7,29,993
ToonJoy,ToonJoy_camp_1,2024-04-23,slot_3,26,
ToonJoy,ToonJoy_camp_1,2024-04-20,slot_2,38,1011
Funables,Funables_camp_8,2024-04-10,slot_9,18,988
Funables,Funables_camp_2,2024-04-22,slot_10,25,1004
PlayPals,PlayPals_camp_5,2024-04-16,slot_6,48,N/A
MiniMax,MiniMax_camp_8,2024-04-01,slot_10,43,1013
PlayPals,PlayPals_camp_7,2024-04-26,slot_4,37,
MiniMax,MiniMax_camp_7,09/04/2024,slot_4,22,1004
ZappyToys,ZappyToys_camp_5,2024-04-01,slot_6,30,1039
ZappyToys,ZappyToys_camp_7,2024-04-11,slot_5,51,956
ZappyToys,ZappyToys_camp_5,2024-04-25,slot_9,null,1018
Kidzsy,Kidzsy_camp_3,2024-04-05,slot_10,20,977
Funables,Funables_camp_1,2024-04-26,slot_3,41,996
ToonJoy,ToonJoy_camp_8,2024-04-12,slot_9,22,1005
MiniMax,MiniMax_camp_2,2024-04-11,slot_6,64,1010
Funables,Funables_camp_5,2024-04-19,slot_7,27,991
PlayPals,PlayPals_camp_4,2024-04-08,slot_2,null,954
ToonJoy,ToonJoy_camp_5,2024-04-02,slot_3,26,960
ToonJoy,ToonJoy_camp_1,2024-04-25,slot_7,37,982
ToonJoy,ToonJoy_camp_1,2024-04-15,slot_4,31,1039
ToonJoy,ToonJoy_camp_5,2024-04-01,slot_7,27,1042
Funables,Funables_camp_7,2024-04-24,slot_9,31,1067
BrightBlox,BrightBlox_camp_5,2024-04-13,slot_9,35,990
ZappyToys,ZappyToys_camp_10,2024-04-21,slot_6,36,997
Funables,Funables_camp_9,2024-04-27,slot_5,23,961
PlayPals,PlayPals_camp_6,2024-04-11,slot_7,35,1008
BrightBlox,BrightBlox_camp_2,2024-04-30,slot_2,32,982
toonjoy,ToonJoy_camp_9,2024-04-23,slot_3,26,958
BrightBlox,BrightBlox_camp_5,2024-04-29,slot_5,45,1028
Kidzsy,Kidzsy_camp_10,17/04/2024,slot_7,43,1034
MiniMax,MiniMax_camp_1,2024-04-14,slot_4,61,1058
Kidzsy,Kidzsy_camp_7,2024-04-09,slot_1,22,1109
MiniMax,MiniMax_camp_2,2024-04-10,slot_1,40,988
MiniMax,MiniMax_camp_4,2024-04-24,slot_5,17,1015
ToonJoy,ToonJoy_camp_8,2024-04-27,slot_9,26,1001
BrightBlox,BrightBlox_camp_5,2024-04-08,slot_8,null,N/A
ZappyToys,ZappyToys_camp_5,2024-04-14,slot_4,41,1046
PlayPals,PlayPals_camp_1,2024-04-05,slot_5,40,N/A
Kidzsy,Kidzsy_camp_4,2024-04-19,slot_6,27,1017
ZappyToys,ZappyToys_camp_6,2024-04-13,slot_10,51,1013
Funables,Funables_camp_6,20/04/2024,slot_8,19,
ZappyToys,ZappyToys_camp_3,2024-04-09,slot_3,45,N/A
BrightBlox,BrightBlox_camp_2,2024-04-21,slot_3,24,
PlayPals,PlayPals_camp_4,2024-04-02,slot_2,20,1009
MiniMax,MiniMax_camp_7,2024-04-16,slot_9,58,N/A
Funables,Funables_camp_8,2024-04-18,slot_8,41,1006
Kidzsy,Kidzsy_camp_10,2024-04-01,slot_6,,995
